IP/Dates        01  02  03  04  05  06  07  08  09  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30
122.180.240     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 470 472 469 470 472 
122.180.30      472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.128     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.132     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.136     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.140     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.144     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.148     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.152     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.156     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.160     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.164     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.168     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.172     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.176     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.180     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.184     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.188     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.192     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.196     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.200     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.204     472 472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
171.79.128      468 468 468 468 468 468 468 468 468 468 468 458 435 430 436 436 436 436 436 434 435 468 468 468 468 471 472 469 470 472 
171.79.144      0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
171.79.160      0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
171.79.176      0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.188.128     468  468 468 468 468 468 468 468 468 468 468 434 435 430 436 436 436 436 436 434 435 468 468 468 472 471 472 469 470 472 
223.188.64      0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.189.128     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.112     472  472 472 472 472 472 472 472 472 472 472 438 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
223.238.116     468  468 468 468 468 468 468 468 468 468 468 434 435 430 436 436 435 436 436 434 435 468 468 468 468 467 468 465 466 468 
223.238.126     468  468 468 468 468 468 468 468 468 468 468 434 435 430 436 436 435 436 436 434 435 468 468 468 468 467 468 465 466 468 
223.238.128     472  472 472 472 472 472 472 472 472 472 472 438 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
223.238.160     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.176     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.192     472  472 472 472 472 472 472 472 472 472 472 438 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
223.238.196     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.200     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.204     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.208     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.212     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.216     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.218     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.220     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
223.238.222     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
27.63.112       0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
27.63.64        472  472 472 472 472 472 472 472 472 472 472 470 471 442 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
27.63.96        0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
182.71.113      472  472 472 472 472 472 472 472 472 472 472 454 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
122.160.153     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
122.180.240     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 470 472 469 470 472 
122.180.30      472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.128     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.132     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.136     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.140     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.144     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.148     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 440 440 440 438 439 472 472 472 472 471 472 469 470 472 
106.207.152     472  472 472 472 472 472 472 472 472 472 472 470 439 434 440 440 439 440 440 438 439 472 472 472 472 471 472 469 470 472 
